ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:P68H11	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:HEIGHT  	INST:EQU	OPER:128
ADD: 000	CODE:	ADDMODE:Ext	LABEL:WIDTH   	INST:EQU	OPER:128
ADD: 000	CODE:	ADDMODE:Ext	LABEL:STKSIZE 	INST:EQU	OPER:256
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DSPSIZE 	INST:EQU	OPER:HEIGHT*WIDTH
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISPLAY 	INST:EQU	OPER:$2000
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISPEND 	INST:EQU	OPER:DISPLAY+DSPSIZE
ADD: 000	CODE:	ADDMODE:Ext	LABEL:CODE    	INST:EQU	OPER:$C000
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDGES   	INST:EQU	OPER:$E000
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VERTEX  	INST:EQU	OPER:$E800
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VERT_T  	INST:EQU	OPER:$EC00
ADD: 000	CODE:	ADDMODE:Ext	LABEL:META    	INST:EQU	OPER:$F000
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISP_H  	INST:EQU	OPER:$100
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISP_W  	INST:EQU	OPER:$101
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISP_M  	INST:EQU	OPER:$102
ADD: 000	CODE:	ADDMODE:Ext	LABEL:DISP_D  	INST:EQU	OPER:$103
ADD: 000	CODE:	ADDMODE:Ext	LABEL:PORTA   	INST:EQU	OPER:$1000
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDGNUM  	INST:EQU	OPER:512
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDGSIZE 	INST:EQU	OPER:4
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDG_FRM 	INST:EQU	OPER:0
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDG_TO  	INST:EQU	OPER:1
ADD: 000	CODE:	ADDMODE:Ext	LABEL:EDG_COL 	INST:EQU	OPER:2
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VTXNUM  	INST:EQU	OPER:256
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VTXSIZE 	INST:EQU	OPER:4
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VTX_X   	INST:EQU	OPER:0
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VTX_Y   	INST:EQU	OPER:1
ADD: 000	CODE:	ADDMODE:Ext	LABEL:VTX_Z   	INST:EQU	OPER:2
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:        	INST:ORG	OPER:CODE
ADD: 000	CODE:	ADDMODE:Ext	LABEL:main    	INST:EQU	OPER:*
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:LDS	OPER:#stk_in
ADD: 000	CODE:	ADDMODE:Ext	LABEL:        	INST:JSR	OPER:init_config
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:start   	INST:EQU	OPER:*
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:LDAA	OPER:#$0
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:        	INST:JSR	OPER:clear_screen
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PULA	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:        	INST:JSR	OPER:transform_vertexes
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:LDX	OPER:#EDGES
ADD: 000	CODE:	ADDMODE:Ext	LABEL:edgloop 	INST:EQU	OPER:*
ADD: 000	CODE:	ADDMODE:Xin	LABEL:        	INST:LDAA	OPER:EDG_COL,x
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Xin	LABEL:        	INST:LDAA	OPER:EDG_TO,x
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:LDAB	OPER:#EDGSIZE
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:MUL	OPER:
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:ADDD	OPER:#VERT_T
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:XGDY	OPER:
ADD: 000	CODE:	ADDMODE:Yin	LABEL:        	INST:LDAA	OPER:VTX_Y,y
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Yin	LABEL:        	INST:LDAA	OPER:VTX_X,y
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Xin	LABEL:        	INST:LDAA	OPER:EDG_FRM,x
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:LDAB	OPER:#EDGSIZE
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:MUL	OPER:
ADD: 000	CODE:	ADDMODE:I16	LABEL:        	INST:ADDD	OPER:#VERT_T
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:XGDY	OPER:
ADD: 000	CODE:	ADDMODE:Yin	LABEL:        	INST:LDAA	OPER:VTX_Y,y
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Yin	LABEL:        	INST:LDAA	OPER:VTX_X,y
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:PSHA	OPER:
ADD: 000	CODE:	ADDMODE:Inh	LABEL:        	INST:None	OPER:
ADD: 000	CODE:	ADDMODE:Ext	LABEL:        	INST:JSR	OPER:line_drawer
